date,r5_18,r5_19,r5_20,r7_18,r7_19,r7_20,r14_18,r14_19,r14_20,18,19,20
21-05-2020,55.29457767,58.48305642,50.49454422,56.31450713,58.04039545,45.09542754,78.81573531,51.54678077,44.95648318,55.48426932,,53.78803352
22-05-2020,63.06212721,68.91832491,53.02983934,58.91152529,59.34971871,46.66181178,72.79160201,53.3890445,40.89883241,77.43796526,73.65394546,
23-05-2020,66.98364182,81.47546329,42.82331376,63.14015472,74.8086532,44.17393548,66.68763432,59.51514818,38.21050503,80.22465238,124.9401513,12.5708918
24-05-2020,66.98364182,85.91063429,38.46389125,66.49463225,78.16658643,44.00126899,66.81259835,61.47311602,36.91013131,,59.13780617,39.3173648
25-05-2020,77.13638676,72.77265754,36.78228772,72.66664548,67.38458466,42.0105801,69.20452987,61.49440723,38.6153401,95.3986601,33.35872728,41.45286076
26-05-2020,79.43064439,72.77265754,49.34569003,71.3324212,72.77265754,49.89167809,67.51787363,63.95846217,44.14586552,64.66129981,,104.0416428
27-05-2020,71.03033317,62.23973206,47.1148498,69.50726121,64.52257474,48.22704708,65.5782912,60.54110928,45.05481642,43.83672039,31.52224355,38.19148885
28-05-2020,76.3058932,39.51430942,51.50212758,77.14769841,59.44188906,45.01358828,66.73110277,58.80484651,45.05765557,101.3268925,34.03846068,34.50728072
29-05-2020,76.00688962,47.52076075,54.84075933,76.70985008,62.36016674,46.58457903,67.81068768,60.99178127,46.62022492,74.81087528,91.1636115,56.01052354
30-05-2020,72.32797895,51.19930346,55.71390135,76.17309247,49.54895788,51.33424747,69.65662359,61.03063757,48.02948809,77.00410675,48.07289812,45.81857088
31-05-2020,75.64697595,54.12890707,40.08806388,76.89926281,50.66721044,49.41926042,72.56400008,63.1669268,46.91864899,81.25628486,65.84732153,25.9124554
01-06-2020,83.59953985,65.6677239,37.90701464,73.81602993,59.97681051,47.39545783,73.29358245,63.34398058,44.91012965,,89.21632768,27.28624267
02-06-2020,77.6904223,68.84958689,53.3554437,75.64697595,58.54409124,48.49656972,73.29358245,63.71811535,49.14046589,,49.94777562,111.749426
03-06-2020,79.91271231,64.50784469,50.82043249,83.17518094,63.96304223,49.23142382,75.719952,64.19618078,48.76786532,81.47774531,69.45490051,43.3354675
04-06-2020,75.55091589,74.05982663,52.0708979,75.69354594,72.79080611,51.68544767,76.48672001,66.62976747,48.34951798,63.91871751,95.83280781,
05-06-2020,66.46645863,83.29945757,57.67114815,71.5319535,75.77392964,50.40260314,74.35626072,69.58296215,48.34674401,54.00291306,112.0454762,48.31345641
06-06-2020,66.05642178,72.86375776,55.61804097,69.09639439,74.19749114,45.94514366,72.95641153,62.82124502,48.84696879,64.82631121,37.03782865,19.07381396
07-06-2020,72.04127939,75.58394611,30.61204261,72.04127939,73.86911912,43.58063985,74.87510305,63.16054588,46.72451246,95.98070984,63.54871737,11.72543256
08-06-2020,69.68216291,64.78263257,25.4462891,72.04127939,63.33083414,42.81167498,73.00932514,61.78282323,45.27986575,,15.44833282,22.67245345
09-06-2020,63.72446363,56.44855785,25.70565776,66.71571956,63.93292822,28.64395938,70.77538156,61.23850973,39.33382649,40.08792043,54.16243419,26.74313241
10-06-2020,58.95614038,40.86260562,24.48302906,58.95769868,58.88447316,28.45476695,69.96564516,61.4237577,39.64219757,34.92962005,34.11571507,42.2003129
11-06-2020,52.4879069,44.24464932,27.83723712,54.79680864,52.90093592,29.51049371,64.2953256,62.84587102,39.74508784,38.95337727,53.94804714,35.84485426
12-06-2020,37.99030592,39.41863231,33.85428841,54.95558776,43.04351254,28.58152694,63.24377063,60.66758329,38.65279288,,,41.81068903
13-06-2020,37.17290666,42.3547035,35.93194427,48.93446729,41.40264403,30.57965819,59.01543084,59.06140786,37.67142072,34.72070888,27.19261759,33.06073274
14-06-2020,36.2012354,43.00902389,37.38016763,37.17290666,40.2744771,33.75948914,56.54422484,58.36389973,38.29232793,,56.77971575,33.98424923
15-06-2020,36.83704308,42.53389613,41.00786994,37.17290666,43.06895563,39.14039929,56.54422484,53.97919791,40.83483423,,32.21520404,60.33882447
16-06-2020,62.82679408,36.85762537,47.11151598,49.88414637,39.24904395,44.80039244,59.98309028,52.54036625,37.34357718,90.93287928,31.2429641,66.36308443
17-06-2020,54.52517538,39.42511914,45.56889516,50.63222585,41.84560714,43.64285987,55.62750955,51.02038115,36.63297083,37.92193798,49.69509424,34.09758493
18-06-2020,55.20772827,49.12785914,47.73711006,50.08597342,45.47198555,44.79385315,52.91247455,49.4721896,37.15217343,36.76836754,75.70631759,43.90180723
19-06-2020,47.64481873,51.34249513,48.68714402,45.05999676,48.66925843,44.35438601,50.00779226,46.07276033,36.46795648,24.95609012,67.8528957,38.73441905
20-06-2020,53.41566448,52.22660189,43.7577801,53.41566448,50.0182756,44.73028203,51.17506589,46.04183026,37.65497011,76.49904749,36.63573782,35.69200485
21-06-2020,40.39196441,55.57333058,35.82315425,48.81545022,48.76068872,43.68824002,44.1584328,44.84397566,38.72386458,25.81437893,47.97660755,26.68995517
22-06-2020,41.00947102,52.59850331,36.84709637,48.81545022,49.13293927,40.67087874,44.1584328,46.33417759,39.90563902,,34.82095787,39.21729552
23-06-2020,43.93659411,45.99522855,43.2348957,41.73944699,50.76822208,42.02483866,44.99732674,45.45167833,43.41261555,48.47685988,42.6899438,75.84080388
24-06-2020,55.04168086,44.28487467,44.63686499,46.98186352,52.14051237,43.68865017,48.44200845,47.38901765,43.66575502,69.37643715,59.30112629,45.74426552
25-06-2020,47.52251479,51.773621,47.54716719,48.59086613,51.9081055,44.59460855,49.18890905,48.9375886,44.69423085,46.42238321,74.0794695,50.24351586
26-06-2020,51.60954737,50.0453656,52.10425144,51.45860265,47.83416762,46.12903103,48.55014543,48.25171303,45.24170852,42.16250923,39.33533054,49.47537643
27-06-2020,51.1859671,55.45210975,50.69389152,46.95736907,51.43687345,45.62524404,49.8929579,50.72757453,45.17776304,49.49164605,61.85467861,32.16549593
28-06-2020,53.55911089,58.62524627,39.6923382,52.71206905,52.94816186,44.78854149,50.76375964,50.85442529,44.23839075,60.34257879,58.55562642,20.83303728
29-06-2020,48.11217047,60.74553564,35.08298961,51.20202134,57.95982119,42.42857392,50.10052698,53.54638023,41.54972633,42.14173506,69.90257316,22.69752256
30-06-2020,48.18727498,52.54896476,31.29285805,50.96217075,56.58934566,36.85986893,46.70552902,53.67878387,39.64100648,46.79790578,33.09661508,
01-07-2020,47.46792426,50.80142097,29.93994684,46.56064482,52.48884355,36.57977994,46.75505345,52.31467796,40.40763314,38.56575562,30.59761157,44.06373158
02-07-2020,49.16795114,45.06725478,28.89161438,48.21341586,46.64661186,32.86788832,48.38762368,49.27735868,39.18227613,57.99178047,33.18384765,27.97216612
03-07-2020,45.22237413,38.60441002,33.73030338,47.99229935,44.77605073,31.31995779,49.59213164,46.30510918,39.29407415,40.61469371,26.24140263,40.18779327
04-07-2020,49.65985876,36.5578573,37.40789699,50.11194395,44.46392658,31.15085016,48.65598632,47.95040002,39.59424659,64.32915823,59.66980956,
05-07-2020,54.05001384,40.63471845,36.17616252,51.31281572,43.73896864,33.48043453,51.95862495,48.34356525,40.07683026,68.74868117,53.48092084,32.48095912
